Title,Price,Stock,Descrption,Rating,Review,Brand
TP-Link 300Mbps Wi-Fi Range Extender TL-WA855RE,RM 79.00,Out Of Stock,"300 Mbps Wi-Fi Range Extender
Wall Plugged
2 external antennas
1 10/100Mbps Port
300Mbps at 2.4GHz, Range Extender/AP mode
WPS, Intelligent Signal Light, Access Control, Power Schedule, LED Control, Tether App",Not available,Not available,TP-Link
Microsoft Surface Laptop Go - Platinum,"RM 2,758.00 - RM 4,455.00",In Stock,"Lightest Surface Laptop, 12.4” PixelSense™ 1536 x 1024 (148 ppi) display and interactive touchscreen
Best for focused everyday productivity and streaming
Instant On and Fingerprint Power Button for password-free One Touch sign-in on select models",Not available,Not available,Microsoft
TP-Link Deco X60 AX3000 Whole Home Mesh Wi-Fi System (3-Pack),"RM 1,739.00",In Stock,"AX3000 Whole Home Mesh Wi-Fi 6 System
SPEED: 574 Mbps at 2.4 GHz + 2402 Mbps at 5 GHz
SPEC: 4× Internal Antennas, 2× Gigabit Ports (WAN/LAN auto-sensing), Qualcomm 1 GHz Quad-core CPU, 4 Streams for 5 GHz
FEATURE: Deco App, Router/AP Mode, IPv6, IPTV, HomeCare (Parental Controls, Antivirus, QoS, Reports), OFDMA, MU-MIMO, 1024-QAM, WPA3, Beamforming, Alexa Supported""",Not available,Not available,TP-Link
TP-Link Deco X60 AX3000 Whole Home Mesh Wi-Fi 6 System (2-Pack),"RM 1,199.00",In Stock,"AX3000 Whole Home Mesh Wi-Fi 6 System
SPEED: 574 Mbps at 2.4 GHz + 2402 Mbps at 5 GHz
SPEC: 4× Internal Antennas, 2× Gigabit Ports (WAN/LAN auto-sensing), Qualcomm 1 GHz Quad-core CPU, 4 Streams for 5 GHz
FEATURE: Deco App, Router/AP Mode, IPv6, IPTV, HomeCare (Parental Controls, Antivirus, QoS, Reports), OFDMA, MU-MIMO, 1024-QAM, WPA3, Beamforming, Alexa Supported""",Not available,Not available,TP-Link
TP-Link Deco X20 AX1800 Whole Home Mesh Wi-Fi 6 System (2-Pack),RM 699.00,Out Of Stock,"AX1800 Whole Home Mesh Wi-Fi 6 System
SPEED: 574 Mbps at 2.4 GHz + 1201 Mbps at 5 GHz
SPEC: 4× Internal Antennas, 2× Gigabit Ports (WAN/LAN auto-sensing), Qualcomm 1 GHz Quad-core CPU
FEATURE: Deco App, Router/AP Mode, IPv6, IPTV, HomeCare (Parental Controls, Antivirus, QoS, Reports), OFDMA, MU-MIMO, 1024-QAM, WPA3, Beamforming, Alexa Supported""",Not available,Not available,TP-Link
TP-Link AC2200 Smart Home Mesh Wi-Fi System DecoM9 Plus(3-pack),"RM 1,359.00",In Stock,Not available,Not available,Not available,TP-Link
TP-Link Deco M9 Plus AC2200 Smart Home Mesh Wi-Fi System (2-Pack),RM 999.00,In Stock,"AC2200 Tri-Band Smart Home Mesh Wi-Fi System
IoT Hub(Bluetooth 4.2, ZigBee HA 1.2)
Qualcomm 717MHz Quad-core CPU
867Mbps at 5GHz+867Mbps at 5GHz_Backhaul+400Mbps at 2.4GHz
512MB RAM, 4GB FLASH
2 Gigabit Ports, 1 USB 2.0 Port
8 antennas
256QAM
MU-MIMO, Beamforming, DFS for Europe version, HomeCare(Parental Controls, Built-in Antivirus, Quality of Service, Reporting), Access Point Mode, IPv6 Ready, Assisted Setup, Deco App,Bluetooth Onboarding, Cloud Support",Not available,Not available,TP-Link
TP-Link Deco E4 AC1200 Whole Home Mesh Wi-Fi System (3-Pack),RM 439.00,In Stock,"AC1200 Whole-Home Mesh Wi-Fi System
Qualcomm CPU
867Mbps at 5GHz+300Mbps at 2.4GHz
2 10/100Mbps Ports, 2 internal antennas
MU-MIMO
Beamforming, Parental Controls, Quality of Service, Reporting, Access Point Mode, IPv6 Ready, Assisted Setup, Deco App, Cloud Support, Alexa & IFTTT supported, Work with All Deco Models",Not available,Not available,TP-Link
TP-Link Archer C80 AC1900 Wireless MU-MIMO Wi-Fi Router,RM 199.00,Out Of Stock,"AC1900 Dual-Band Wi-Fi Router
1300Mbps at 5GHz + 600Mbps at 2.4GHz
5 Gigabit Ports, 4 antennas
MU-MIMO
Beamforming, Smart Connect, IPTV, Access Point Mode, IPv6 Ready, Tether App, Cloud support",Not available,Not available,TP-Link
TP-Link Archer C6 AC1200 Wireless MU-MIMO Gigabit Router,RM 179.00,In Stock,"AC1200 Dual-Band Wi-Fi Router
Qualcomm
867Mbps at 5GHz + 300Mbps at 2.4GHz
5 Gigabit Ports, 4 antennas
Beamforming, MU-MIMO, IPTV, Access Point Mode, VPN Server, IPv6 Ready, Tether App",Not available,Not available,TP-Link
TP-Link Archer VR600v AC1600 WLAN Telephony DSL Router,RM 339.00,In Stock,"All in 1.AC1600 Wi-Fi VDSL/ADSL Modem Router
Broadcom CPU
802.11ac/a/n/g/b, 1300Mbps at 5GHz + 300Mbps at 2.4GHz
4 GE LAN Ports, 2 USB 2.0
3 detachable antennas, Beamforming, Tether App, Cloud Support, with VDSL splitter,Support Unifi Lite&Streamyx&Unifi Line",Not available,Not available,TP-Link
TP-Link Archer VR400 V3 AC1200 Wireless MU-MIMO VDSL/ADSL Modem Router,RM 269.00,In Stock,"Speedy WiFi – Experience superb wireless connections with 867 Mbps (5 GHz) + 300 Mbps (2.4 GHz) dual-band WiFi
Superior Range – Two fixed omnidirectional antennas with Beamforming technology provide stable wireless connections and optimal coverage
Versatile Connectivity – Fully compatible with VDSL2/ADSL2+/ADSL2/ADSL standards, as well as fiber, cable, and 3G/4G internet services
Whole-Home Coverage with OneMeshTM – Works alongside TP-Link OneMeshTM products to create a flexible Mesh network
MU-MIMO Technology – Simultaneously transfers data to multiple devices, reducing wait times
Full Gigabit Ports – Take full advantage of broadband speeds up to 1 Gbps
Tether App– TP-Link Tether provides the easiest way to access and manage your router on your iOS and Android devices
Support Unifi Lite&Streamyx&Unifi Line",Not available,Not available,TP-Link
TP-Link TD-W8961N 300Mbps Wireless N ADSL2+ Modem Router,RM 93.00,In Stock,"300Mbps Wireless N ADSL2+ Modem Router
802.11b/g/n, 300Mbps at 2.4GHz
4 FE LAN ports, ADSL/ADSL2/ADSL2+, Annex A, 2 fixed antennas
Wi-Fi on/off button, with ADSL splitter",Not available,Not available,TP-Link
TP-Link Archer T3U AC1300 Mini Wireless MU-MIMO USB Adapter,RM 79.00,In Stock,"AC1300 Mini Wi-Fi MU-MIMO USB Adapter
Mini Size
867Mbps at 5GHz + 400Mbps at 2.4GHz
USB 3.0",Not available,Not available,TP-Link
TP-Link Archer T2U AC600 Wireless Dual Band USB Adapter,RM 64.00,In Stock,"600 (433+150)Mbps wireless speed with 802.11ac
A tiny way to get speedy next generation Wi-Fi connections
Selectable Dual Band connections for lag-free HD video streaming and gaming
Advanced Security: Supports 64/128 WEP, WPA, PA2/WPA-PSK/WPA2-PSK (TKIP/AES)
Supports Windows 10/8.1/8/7/XP, Mac OS X 10.7~10.11 and Linux",Not available,Not available,TP-Link
TP-Link Archer T2U Nano AC600 Nano Wireless USB Adapter,RM 69.00,In Stock,Interface: USB 2.0,Not available,Not available,TP-Link
TP-Link TL-WN823N 300Mbps Mini Wireless N USB Adapter,RM 36.00,In Stock,"300Mbps Wi-Fi USB Adapter
Mini Size
USB 2.0",Not available,Not available,TP-Link
TP-Link TL-WN725N 150Mbps Wireless N Nano USB Adapter,RM 24.00,In Stock,"150Mbps Wi-Fi USB Adapter
Nano Size
USB 2.0",Not available,Not available,TP-Link
