,Product_Name,Price
160,Logitech M331 Silent Plus,RM 65.00
161,Logitech Wireless Mouse M185,RM 55.00
162,"Apple MacBook Pro (13-inch, M1 chip, 2020)","RM 5,599.00 - RM 6,399.00"
163,"Apple MacBook Air (M1 chip, 2020)","RM 4,399.00 - RM 5,399.00"
164,HP 680 Black Original Ink Advantage Cartridge,RM 40.00
165,HP 680 Tri-color Original Ink Advantage Cartridge,RM 40.00
166,TP-Link TL-WN821N 300Mbps Wireless N USB Adapter,RM 33.00
167,TP-Link Deco X20 AX1800 Whole Home Mesh Wi-Fi System (3-Pack),"RM 1,159.00"
168,TP-Link 5-Port 10/100/1000Mbps Desktop Network Switch,RM 79.00
169,TP-Link 8-Port 10/100/1000Mbps Desktop Network Switch LS108G,RM 99.00
170,TP-Link 300Mbps Wireless N 4G LTE Router TL-MR6400,RM 349.00
171,TP-Link 300 Mbps Wireless N 4G LTE Router TL-MR100,RM 259.00
172,TP-Link AC750 Wireless Dual Band 4G LTE Router Archer MR200,RM 389.00
173,TP-Link AC1200 Wireless Dual Band 4G LTE Router Archer MR400,RM 429.00
174,TP-Link 4G LTE Mobile Wi-Fi M7000,RM 209.00
175,TP-Link 4G LTE Mobile Wi-Fi M7200,RM 219.00
176,TP-Link 4G LTE Mobile Wi-Fi M7350,RM 249.00
177,TP-Link 300Mbps LTE-Advanced Mobile Wi-Fi M7450,RM 439.00
178,TP-Link 300Mbps Wi-Fi Range Extender with AC Passthrough TL-WA860RE,RM 99.00
179,TP-Link AC1200 Wi-Fi Range Extender RE305,RM 195.00
180,TP-Link AC1750 Wi-Fi Range Extender RE450,RM 299.00
181,TP-Link Bluetooth 4.0 Nano USB Adapter UB400,RM 24.00
182,TP-Link Archer T4E AC1200 Wireless Dual Band PCI Express Adapter,RM 115.00
183,TP-Link Archer T6E AC1300 Wireless Dual Band PCI Express WiFi Adapter,RM 129.00
184,TP-Link AC600 High Power Wireless Dual Band USB Adapter Archer T2UHP,RM 120.00
185,TP-Link TL-WN722N 150Mbps High Gain Wireless USB Adapter,RM 47.00
186,Tp-Link TL-WN822N 300Mbps High Gain Wireless USB Adapter,RM 53.00
187,TP-Link Archer T2U Plus AC600 High Gain Wireless Dual Band USB Adapter,RM 75.00
188,TP-Link Archer T4U AC1300 Wireless Dual Band USB Adapter,RM 86.00
189,TP-Link Archer T9UH AC1900 High Gain Wireless Dual Band USB Adapter,RM 169.00
190,TP-Link TL-WN727N 150Mbps Wireless N USB Adapter,RM 22.00
191,TP-Link TL-WN725N 150Mbps Wireless N Nano USB Adapter,RM 24.00
192,TP-Link TL-WN823N 300Mbps Mini Wireless N USB Adapter,RM 36.00
193,TP-Link Archer T2U Nano AC600 Nano Wireless USB Adapter,RM 69.00
194,TP-Link Archer T2U AC600 Wireless Dual Band USB Adapter,RM 64.00
195,TP-Link Archer T3U AC1300 Mini Wireless MU-MIMO USB Adapter,RM 79.00
196,TP-Link TD-W8961N 300Mbps Wireless N ADSL2+ Modem Router,RM 93.00
197,TP-Link Archer VR400 V3 AC1200 Wireless MU-MIMO VDSL/ADSL Modem Router,RM 269.00
198,TP-Link Archer VR600v AC1600 WLAN Telephony DSL Router,RM 339.00
199,TP-Link Archer C6 AC1200 Wireless MU-MIMO Gigabit Router,RM 179.00
200,TP-Link Archer C80 AC1900 Wireless MU-MIMO Wi-Fi Router,RM 199.00
201,TP-Link Deco E4 AC1200 Whole Home Mesh Wi-Fi System (3-Pack),RM 439.00
202,TP-Link Deco M9 Plus AC2200 Smart Home Mesh Wi-Fi System (2-Pack),RM 999.00
203,TP-Link AC2200 Smart Home Mesh Wi-Fi System DecoM9 Plus(3-pack),"RM 1,359.00"
204,TP-Link Deco X20 AX1800 Whole Home Mesh Wi-Fi 6 System (2-Pack),RM 699.00
205,TP-Link Deco X60 AX3000 Whole Home Mesh Wi-Fi 6 System (2-Pack),"RM 1,199.00"
206,TP-Link Deco X60 AX3000 Whole Home Mesh Wi-Fi System (3-Pack),"RM 1,739.00"
207,Microsoft Surface Laptop Go - Platinum,"RM 2,758.00 - RM 4,455.00"
208,TP-Link 300Mbps Wi-Fi Range Extender TL-WA855RE,RM 79.00
209,TP-Link AX6000 Wi-Fi 6 Next-Gen Router Archer AX6000,"RM 1,029.00"
210,TP-Link AX1500 Wi-Fi 6 Router Archer AX10,RM 199.00
211,TP-Link Archer TX50E AX3000 Wi-Fi 6 Bluetooth 5.0 PCIe Adapter,RM 149.00
212,TP-Link Archer AX20 AX1800 Dual-Band Wi-Fi 6 Router,RM 249.00
213,TP-Link Archer AX50 AX3000 Dual Band Gigabit Wi-Fi 6 Router,RM 329.00
214,TP-Link Deco E4 AC1200 Whole Home Mesh Wi-Fi System (2-Pack),RM 299.00
215,TP-Link Deco M5 AC1300 Whole Home Mesh Wi-Fi System (2-Pack),RM 539.00
216,HUAWEI MateBook 14,"RM 3,699.00 - RM 4,599.00"
217,MSI Audio Gaming Gear immerse GH50,RM 370.00
218,MSI Audio Gaming Gear Immerse GH10,RM 200.00
219,MSI 23.6 Inch G Series Monitor Optix G24C4,RM 949.00
220,MSI Keyboard Gaming Gear Vigor GK50 Low Profile,RM 559.00
221,HP DeskJet Ink Advantage 2776 All-in-One Printer,RM 299.00
222,MSI Mice Gaming Gear Clutch GM11,RM 99.00
223,MSI 27 Inch Optix Monitor MAG272CQR,"RM 1,799.00"
224,TP-Link Deco M5 AC1500 Whole Home Mesh Wi-Fi System (3-Pack),RM 799.00
225,HP DeskJet Ink Advantage 2336 All-in-One Printer,RM 215.00
226,HP ENVY x360 Laptop 13.3 Inch (8GB RAM/512GB SSD/AMD R5-4500U),"RM 3,699.00"
227,HUAWEI WiFi AX3 (Quad-Core),RM 299.00
228,Microsoft Surface Book 3,"RM 7,499.00 - RM 13,088.00"
229,Microsoft Surface Pro Signature Type Cover,RM 499.00 - RM 639.00
230,Microsoft Surface Go Signature Type Cover,RM 420.00 - RM 578.00
231,Microsoft Surface Mobile Mouse,RM 187.00
232,Microsoft Surface Arc Mouse,RM 339.00
233,Microsoft Surface Pro X Keyboard + Slim Pen Black MIC-25O-00015,"RM 1,219.00"
234,Microsoft Surface Pro X Keyboard Black MIC-QJW-00015,RM 639.00
235,Microsoft Surface Pro X (Black) LTE Version,"RM 4,599.00 - RM 7,499.00"
236,Microsoft Surface Laptop 3,"RM 4,249.00 - RM 7,266.00"
237,Microsoft Surface Pro 7,"RM 3,999.00 - RM 9,199.00"
238,Microsoft Surface Pen,RM 399.00
239,Canon Pixma E470 Multifunction Wireless Printer,RM 329.00
240,MSI Clutch GM60 RGB Gaming Optical Mouse,RM 434.00
241,MSI Gaming Head Set Immerse GH70 Mystic Light RGB,RM 549.00
242,Rapoo Optical Mouse N1020 (Black),RM 19.00
243,Microsoft 365 Family MS-6GQ-01144,RM 368.00
244,SanDisk 32GB Ultra Fit™ USB 3.1 Flash Drive SDCZ430-032G-G46,RM 31.00
245,Microsoft Surface Mouse (Silver) MS-MIC-WS3-00005,RM 241.00
246,Apple USB-C VGA Multiport Adapter,RM 349.00
247,Apple USB-C to USB Adapter,RM 99.00
248,Samsung 64GB EVO Plus microSD Card with SD Adapter SAM-MB-MC64GA/APC,RM 59.00
249,Samsung 32GB EVO Plus microSD Card with SD Adapter SAM-MB-MC32GA/APC,RM 39.00
250,SanDisk Ultra Dual Drive USB Type-C 64GB SD-DDC2-064G,RM 70.00
251,SanDisk Ultra Dual Drive USB Type-C 32GB SD-DDC2-032G,RM 46.00
252,Canon PIXMA All-in-One Printer CNN-E410,RM 239.00
253,SanDisk Ultra Flair USB 3.0 Flash Drive 32GB SD-CZ73-032G-G46,RM 31.00
254,Canon Laser Shot CNN-LBP6030,RM 375.00
255,Canon PIXMA Printer CNN-E510,RM 309.00
